#from http://www.geneimprint.com/site/genes-by-species 
GeneID	Loc	Status	Allele
NDUFA4P1	1p13.3 	Predicted	Paternal
GFI1	1p22 AS 	Predicted	Paternal
DIRAS3	1p31 AS 	Imprinted	Paternal
FUCA1	1p34 AS 	Predicted	Paternal
RNU5D-1	1p34.1 AS 	Imprinted	Paternal
BMP8B	1p35-p32 AS 	Predicted	Paternal
DVL1	1p36 AS 	Predicted	Maternal
TP73	1p36.3 	Imprinted	Maternal
WDR8	1p36.3 AS 	Predicted	Maternal
RPL22	1p36.3-p36.2 AS 	Predicted	Paternal
PRDM16	1p36.23-p33 	Predicted	Paternal
PEX10	1p36.32 AS 	Predicted	Maternal
TMEM52	1p36.33 AS 	Predicted	Paternal
HSPA6	1q23 	Predicted	Maternal
PTPN14	1q32.2 AS 	Predicted	Maternal
OBSCN	1q42.13 	Predicted	Paternal
HIST3H2BB	1q42.13 	Predicted	Maternal
OR11L1	1q44 AS 	Predicted	Paternal
LRRTM1	2p12 AS 	Imprinted	Paternal
OTX1	2p13 	Predicted	Maternal
VAX2	2p13 	Predicted	Maternal
COMMD1	2p15 	Not Imprinted	Biallelic
CCDC85A	2p16.1 	Predicted	Paternal
CYP1B1	2p21 AS 	Predicted	Paternal
ABCG8	2p21 	Predicted	Maternal
ZFP36L2	2p22.3-p21 AS 	Predicted	Maternal
GPR1	2q33.3 AS 	Imprinted	Paternal
ZDBF2	2q33.3 	Imprinted	Paternal
TIGD1	2q37.1 AS 	Predicted	Paternal
MYEOV2	2q37.3 AS 	Predicted	Paternal
ALDH1L1	3q21.3 AS 	Predicted	Maternal
ZIC1	3q24 	Predicted	Maternal
HES1	3q28-q29 	Predicted	Paternal
FGFRL1	4p16 	Predicted	Maternal
KIAA1530	4p16.3 	Predicted	Maternal
SPON2	4p16.3 AS 	Predicted	Paternal
NAP1L5	4q22.1 AS 	Imprinted	Paternal
GAB1	4q31.21 	Not Imprinted	Biallelic
ADAMTS16	5p15 	Predicted	Maternal
CDH18	5p15.2-p15.1 AS 	Predicted	Paternal
CSF2	5q31.1 	Predicted	Maternal
VTRNA2-1	5q31.1 AS 	Imprinted	Paternal
TNDM	6	Imprinted	
PRIM2	6p12-p11.1 AS 	Conflicting Data	Biallelic
BTNL2	6p21.3 AS 	Predicted	Maternal
FAM50B	6p25.2 	Imprinted	Paternal
